Kingdom,Phylum,Class,Order,Family,Genus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Turicella
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Segniliparaceae,Segniliparus
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Oerskovia
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Dermabacter
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,"NA"
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,"NA"
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudoclavibacter
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Luteococcus
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionimicrobium
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,"NA"
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,"NA"
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,"NA"
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,"NA"
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella
Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia
Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,Patulibacter
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,"NA","NA"
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,"NA","NA"
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,"NA"
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,"NA"
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,"NA","NA"
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,"NA","NA"
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,"NA","NA"
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,"NA","NA"
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,"NA","NA"
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,"NA","NA"
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,"NA"
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Bacteroidetes,"NA","NA","NA","NA"
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales Family X. Incertae Sedis,"NA"
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales incertae sedis,Exiguobacterium
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales incertae sedis,Gemella
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopobacter
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,"NA"
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,"NA"
Bacteria,Firmicutes,Bacilli,Lactobacillales,"NA","NA"
Bacteria,Firmicutes,Bacilli,Lactobacillales,"NA","NA"
Bacteria,Firmicutes,Bacilli,Lactobacillales,"NA","NA"
Bacteria,Firmicutes,Bacilli,Lactobacillales,"NA","NA"
Bacteria,Firmicutes,Bacilli,Lactobacillales,"NA","NA"
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Bacteria,Firmicutes,Bacilli,"NA","NA","NA"
Bacteria,Firmicutes,Bacilli,"NA","NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,Anaerovorax
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Moryella
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,"NA","NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,"NA"
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum
Bacteria,Firmicutes,Clostridia,"NA","NA","NA"
Bacteria,Firmicutes,Erysipelotrichaceae,"NA","NA","NA"
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus
Bacteria,Firmicutes,"NA","NA","NA","NA"
Bacteria,Firmicutes,"NA","NA","NA","NA"
Bacteria,Firmicutes,"NA","NA","NA","NA"
Bacteria,Firmicutes,"NA","NA","NA","NA"
Bacteria,Firmicutes,"NA","NA","NA","NA"
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succinispira
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Anaeroglobus
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,"NA"
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Gallicola
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Parvimonas
Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,"NA","NA","NA","NA","NA"
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,unclassified Rhodospirillales,Enhydrobacter
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,"NA","NA"
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales,Aquabacterium
Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylovorus
Bacteria,Proteobacteria,Betaproteobacteria,"NA","NA","NA"
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,"NA"
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,"NA"
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,"NA"
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,"NA"
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,"NA"
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,"NA"
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia
Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Crenotrichaceae,"NA"
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,"NA"
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Proteobacteria,"NA","NA","NA","NA"
Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Dethiosulfovibrio
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,"NA"
Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma
